,loss,accuracy,val_loss,val_accuracy
0,1.398510456,0.276666671,1.385133028,0.283333331
1,1.390434027,0.311111122,1.383846521,0.300000012
2,1.380694866,0.304444432,1.378942013,0.289999992
3,1.384340286,0.292222232,1.378765225,0.273333341
4,1.366887093,0.303333342,1.376827478,0.296666652
5,1.386663318,0.263333321,1.369211078,0.336666673
6,1.356647015,0.333333343,1.365714669,0.316666663
7,1.36010468,0.307777792,1.364036202,0.310000002
8,1.355401874,0.325555563,1.368405223,0.316666663
9,1.367468238,0.332222223,1.367643714,0.333333343
10,1.347575784,0.308888882,1.368309736,0.319999993
11,1.359380722,0.314444453,1.365851402,0.276666671
12,1.361533046,0.313333333,1.37068665,0.303333342
13,1.350751281,0.331111103,1.365706325,0.283333331
14,1.347608566,0.324444443,1.362219214,0.283333331
15,1.342998862,0.310000002,1.366803288,0.300000012
16,1.352211475,0.295555562,1.362990499,0.330000013
17,1.346512318,0.338888884,1.360559464,0.300000012
18,1.342014551,0.317777783,1.362796545,0.283333331
19,1.355624914,0.307777792,1.360684037,0.306666672
20,1.340182543,0.331111103,1.356937289,0.323333323
21,1.33283782,0.333333343,1.356664658,0.300000012
22,1.342161298,0.328888893,1.353574872,0.333333343
23,1.340927482,0.326666653,1.35013783,0.336666673
24,1.337035298,0.317777783,1.353343368,0.349999994
25,1.34409225,0.322222233,1.354192972,0.319999993
26,1.333481669,0.326666653,1.34809494,0.323333323
27,1.343437314,0.332222223,1.354936004,0.319999993
28,1.336829185,0.345555544,1.361360192,0.300000012
29,1.334005356,0.337777764,1.352445006,0.323333323
30,1.334243894,0.318888903,1.349354625,0.316666663
31,1.33594799,0.345555544,1.34726584,0.346666664
32,1.338748932,0.337777764,1.348958731,0.333333343
33,1.332121491,0.345555544,1.35028553,0.370000005
34,1.331346154,0.354444444,1.349615693,0.366666675
35,1.328304172,0.354444444,1.349129438,0.373333335
36,1.324635506,0.354444444,1.345123649,0.360000014
37,1.324041963,0.327777773,1.345136166,0.330000013
38,1.33316493,0.356666654,1.34143889,0.383333325
39,1.328973889,0.334444433,1.351064801,0.346666664
40,1.327205539,0.337777764,1.349695206,0.319999993
41,1.321675658,0.354444444,1.34806931,0.330000013
42,1.333246231,0.328888893,1.346549869,0.340000004
43,1.327196717,0.353333324,1.349619985,0.336666673
44,1.315852761,0.360000014,1.343356013,0.360000014
45,1.318469524,0.341111124,1.339609027,0.336666673
46,1.314961195,0.341111124,1.343871713,0.343333334
47,1.311721206,0.370000005,1.345023274,0.330000013
48,1.315114379,0.353333324,1.341212988,0.343333334
49,1.326647162,0.330000013,1.339394331,0.373333335
50,1.319215894,0.354444444,1.343285918,0.346666664
51,1.329843521,0.321111113,1.342396379,0.340000004
52,1.310609102,0.357777774,1.333318233,0.360000014
53,1.303811908,0.361111104,1.332637787,0.356666654
54,1.30865097,0.355555564,1.338385582,0.330000013
55,1.303554416,0.357777774,1.337303162,0.366666675
56,1.309604168,0.376666665,1.336540103,0.406666666
57,1.310657144,0.338888884,1.33275485,0.376666665
58,1.304333925,0.371111125,1.335219026,0.376666665
59,1.321060419,0.342222214,1.344448566,0.340000004
60,1.313774824,0.342222214,1.333964467,0.370000005
61,1.303633809,0.382222235,1.333374262,0.370000005
62,1.318243861,0.337777764,1.328763723,0.400000006
63,1.301045179,0.352222234,1.342318058,0.356666654
64,1.311903834,0.352222234,1.33842063,0.319999993
65,1.297420621,0.370000005,1.330022097,0.366666675
66,1.306307554,0.349999994,1.333785534,0.356666654
67,1.309441209,0.352222234,1.338440299,0.370000005
68,1.310871482,0.347777784,1.328083038,0.396666676
69,1.31745255,0.363333344,1.328517914,0.376666665
70,1.301104069,0.356666654,1.332230806,0.373333335
71,1.30378294,0.352222234,1.337437391,0.349999994
72,1.291839838,0.366666675,1.327026606,0.370000005
73,1.290679336,0.388888896,1.331550956,0.356666654
